iter	Logloss
0	0.6789781456
1	0.6654822935
2	0.6533308714
3	0.6380776345
4	0.6307616176
5	0.6195437229
6	0.6081976473
7	0.5988064006
8	0.5857734101
9	0.5814030252
10	0.5682017808
11	0.5600867447
12	0.5525057455
13	0.5454390106
14	0.5387439107
15	0.5323668374
16	0.5255410325117	0.5190781368118	0.5134706419	19	0.5075099929
20	0.5021803808
21	0.4967191866
22	0.4919863595
23	0.4874530635
24	0.4824378165
25	0.4779470448
26	0.4730923047
27	0.4691825254
28	0.4651054788
29	0.4614152143
30	0.4576187175
31	0.4543430262
32	0.4509206015
33	0.4475298073
34	0.4442945551
35	0.4412977752
36	0.4378696243
37	0.4351042956
38	0.4323515696
39	0.4298023836
40	0.4272715554
41	0.4247828833
42	0.4225366762
43	0.4202988556
44	0.4180849328
45	0.4159321113
46	0.4138808261
47	0.411903853
48	0.4100024374
49	0.4082116233
50	0.4061810748
51	0.4044316058
52	0.4027300771
53	0.4011028728
54	0.3996619185
55	0.3983368615
56	0.3966134086
57	0.3951700049
58	0.3937616245
59	0.3922916214
60	0.3910839801
61	0.3897745501
62	0.3886704559
63	0.3874231864
64	0.3863265644
65	0.3850317684
66	0.3840645937
67	0.3827924459
68	0.3815126398
69	0.3805625444
70	0.3797060745
71	0.3785510736
72	0.3776736311
73	0.3769083747
74	0.3758310744
75	0.3749179137
76	0.3741017298
77	0.3731774436
78	0.3722081712
79	0.3714855384
80	0.3705652779
81	0.3699507103
82	0.3692937259
83	0.3680596755
84	0.3672164205
85	0.3663811508
86	0.3654648415
87	0.364667516
88	0.3639495461
89	0.3631922501
90	0.3626753586
91	0.3621771972
92	0.3615516696
93	0.3610362096
94	0.3603183722
95	0.3594836775
96	0.3588023858
97	0.3581417729
98	0.3569388938
99	0.3561777334
100	0.3557235072
101	0.3552767822
102	0.3546567739
103	0.3540656282
104	0.3535240322
105	0.3529579965
106	0.3524423835
107	0.3519054131
108	0.3515188337
109	0.3509232817
110	0.3504476071
111	0.3498603341
112	0.3492751173
113	0.3488168944
114	0.348360525
115	0.3477907119
116	0.3471260981
117	0.3465946864
118	0.3461335859
119	0.3457496689
120	0.3451243916
121	0.3446390272
122	0.3441944102
123	0.3435760299
124	0.3432258184
125	0.3425417815
126	0.3420576273
127	0.3416070235
128	0.3411203827
129	0.3406821663
130	0.3402501642
131	0.3399053768
132	0.3395600929
133	0.3391694878
134	0.3386486389
135	0.3382459007
136	0.3379597757
137	0.3376679679
138	0.3370174938
139	0.3367090908
140	0.3363589144
141	0.3358374407
142	0.3355213339
143	0.3352644418
144	0.3349454491
145	0.3345864186
146	0.3343243464
147	0.3340162703
148	0.333719479
149	0.3332817839
150	0.3330262819
151	0.3327415657
152	0.3325018748
153	0.3319563545
154	0.3316447223
155	0.3312391625
156	0.3309859361
157	0.3307464624
158	0.3304510737
159	0.3302137578
160	0.329945736
161	0.3294093531
162	0.3291484725
163	0.3288423182
164	0.3285795179
165	0.3283386561
166	0.3279683037
167	0.3276500867
168	0.3274247279
169	0.3272055628
170	0.3270215885
171	0.3268534687
172	0.3264531696
173	0.3260101496
174	0.3257634997
175	0.3255269843
176	0.3252369804
177	0.3250570277
178	0.3248153364
179	0.3245845513
180	0.3242932007
181	0.3240501089
182	0.3238010903
183	0.3235685179
184	0.3233487073
185	0.3231297036
186	0.3227988986
187	0.3225947171
188	0.3222641252
189	0.3220498298
190	0.3218197336
191	0.3215934232
192	0.3213617983
193	0.3210390447
194	0.3208295239
195	0.3205049188
196	0.3202974274
197	0.3200662741
198	0.3198703137
199	0.3196093834
200	0.319429981
201	0.3192016163
202	0.3188167084
203	0.3186004126
204	0.3183790774
205	0.3181320633
206	0.3179479359
207	0.3175825442
208	0.3174128646
209	0.3172721221
210	0.31711226621211	0.31691201121212	0.31670594321213	0.31656385221214	0.31635716921215	0.316183526217	0.31768411
