iter	Logloss
0	0.6410605864
1	0.597800638
2	0.5627106989
3	0.5327981885
4	0.5113258725
5	0.4958048832
6	0.4825441667
7	0.4692984089
8	0.460849646
9	0.4516118321
10	0.443547228
11	0.4373651793
12	0.4316004142
13	0.4264067211
14	0.4223726908
15	0.4192294971
16	0.4166179355
17	0.4133175409
18	0.4112838566
19	0.4086291974
20	0.4064572448
21	0.4042991404
22	0.4016847887
23	0.4002830742
24	0.3983236233
25	0.3969190856
26	0.3956696391
27	0.3945838216
28	0.3935222529
29	0.392381018
30	0.3915021925
31	0.3903510988
32	0.3895058469
33	0.3887791171
34	0.388073615
35	0.3873484469
36	0.3867230366
37	0.3861422873
38	0.3853756288
39	0.3846618975
40	0.3840199316
41	0.3829817871
42	0.382631497
43	0.3822579371
44	0.3817905699
45	0.3810893684
46	0.3806111967
47	0.3802743687
48	0.3799181103
49	0.3792619992
50	0.3788794833
51	0.3784196889
52	0.3780425266
53	0.377639152
54	0.3772739945
55	0.3769813739
56	0.3765125198
57	0.3762311871
58	0.3759272494
59	0.3754396623
60	0.3751121901
61	0.3749228509
62	0.374624341
63	0.3743451407
64	0.3740628218
65	0.3737832145
66	0.3734879794
67	0.37325557
68	0.3730098836
69	0.3728046978
70	0.3725807788
71	0.3722652223
72	0.3720131277
73	0.3717080465
74	0.3715441297
75	0.3713453942
76	0.3711410782
77	0.3708858071
78	0.3707646719
79	0.3705744885
80	0.3701770589
81	0.3699394082
82	0.3697855527
83	0.3695467897
84	0.3693747551
85	0.3691558819
86	0.3689613749
87	0.3688495476
88	0.3685850316
89	0.3684500119
90	0.3684010861
91	0.368249912
92	0.3680876828
93	0.3679604284
94	0.3678055546
95	0.3676349804
96	0.3674691057
97	0.3673415141
98	0.367187951
99	0.3670728139
100	0.3669696353
101	0.3668675288
102	0.3667453611
103	0.3665534729
104	0.3663608891
105	0.3662837993
106	0.3661280286
107	0.3660066527
108	0.3658669164
109	0.3657275248
110	0.3656010688
111	0.3654404694
112	0.3652091227
113	0.3648204012
114	0.3647065298
115	0.3645404497
116	0.364362891
117	0.3642592863
118	0.3641054895
119	0.3638539457
120	0.363700523
121	0.3635171364
122	0.3633433817
123	0.3631106011
124	0.3630025957
125	0.3629027727
126	0.3628025384
127	0.3626231973
128	0.3624504163
129	0.3622501303
130	0.3621170593
131	0.3620071485
132	0.3617878437
133	0.3616025025
134	0.3614687971
135	0.3613361317
136	0.3611775684
137	0.3610140148
138	0.3607785439
139	0.3606032256
140	0.3604688213
141	0.3603205764
142	0.3602155723
143	0.3601066265
144	0.3599342138
145	0.3597753388
146	0.3596411987
147	0.3594654847
148	0.3593544037
149	0.3591859305
150	0.3590528687
151	0.358939895
152	0.3587520996
153	0.3586065356
154	0.3584527444
155	0.3582664969
156	0.3581694356
157	0.3579937258
158	0.3578667756
159	0.3577864631
160	0.3576618425
161	0.3575156125
162	0.3574091532
163	0.3572801565
164	0.3571582136
165	0.3570272952
166	0.356853627
167	0.3567616355
168	0.3566242998
169	0.3565374665
170	0.3563749015
171	0.3562475359
172	0.3560983866
173	0.3559203553
174	0.3558401425
175	0.3556222799
176	0.35546274
177	0.3553595669
178	0.3552629383
179	0.3551538183
180	0.3550039841
181	0.3548923831
182	0.3547507162
183	0.3546549981
184	0.3545731871
185	0.3544477121
186	0.3543318936
187	0.3542279368
188	0.3541326569
189	0.3540012829
190	0.353868063
191	0.3537709673
192	0.3536902236
193	0.3534749701
194	0.353341797
195	0.3532375644
196	0.3531299617
197	0.3530471563
198	0.3529401838
199	0.352839721
200	0.3527494723
201	0.3526365666
202	0.3525278702
203	0.3524606311
204	0.3523886856
205	0.3522771587
206	0.3521907173
207	0.3520667336
208	0.3519534446
209	0.3518686206
210	0.3517524683
211	0.3516664681
212	0.3515610986
213	0.3514465945
214	0.3513562442
215	0.3512585612
216	0.3511789944
217	0.3510731498
218	0.3509671499
219	0.3508693083
220	0.3507792773
221	0.3507051988
222	0.3506218806
223	0.3505352246
224	0.3504601911
225	0.3503958407
226	0.3503223895
227	0.3502582265
228	0.3501695614
229	0.3500958564
230	0.3499897813
231	0.3498932585
232	0.3497461506
233	0.349654193
234	0.3495573935
235	0.3494830272
236	0.3493937561
237	0.3493122142
238	0.3491773595
239	0.3490729042
240	0.3489674092
241	0.3488424663
242	0.3487739977
243	0.3487155806
244	0.3486359588
245	0.3485252713
246	0.3484535943
247	0.3483134813
248	0.3482250426
249	0.348144692
